Referee,n,total_yellow,total_red,yellows_per_game,reds_per_game,home_yellow,away_yellow,home_red,away_red,yellow_gap,red_gap
A Taylor,77,263,12,3.4155844155844157,0.15584415584415584,1.7142857142857142,1.7012987012987013,0.1038961038961039,0.05194805194805195,0.19695696460402345,0.03623631270690093
M Oliver,74,220,10,2.972972972972973,0.13513513513513514,1.4864864864864864,1.4864864864864864,0.05405405405405406,0.08108108108108109,-0.24565447800741946,0.015527291997880235
M Atkinson,74,190,7,2.5675675675675675,0.0945945945945946,1.2567567567567568,1.3108108108108107,0.02702702702702703,0.06756756756756757,-0.6510598834128247,-0.025013248542660307
M Dean,71,258,12,3.6338028169014085,0.16901408450704225,1.9154929577464788,1.7183098591549295,0.056338028169014086,0.11267605633802817,0.4151753659210162,0.04940624136978734
J Moss,67,182,8,2.716417910447761,0.11940298507462686,1.4029850746268657,1.3134328358208955,0.014925373134328358,0.1044776119402985,-0.5022095405326312,-0.00020485806262804385
P Tierney,66,241,11,3.6515151515151514,0.16666666666666666,1.7424242424242424,1.9090909090909092,0.07575757575757576,0.09090909090909091,0.4328877005347591,0.04705882352941175
K Friend,62,198,8,3.193548387096774,0.12903225806451613,1.7096774193548387,1.4838709677419355,0.04838709677419355,0.08064516129032258,-0.025079063883618247,0.009424414927261218
C Pawson,62,239,7,3.8548387096774195,0.11290322580645161,2.0483870967741935,1.8064516129032258,0.04838709677419355,0.06451612903225806,0.6362112586970272,-0.0067046173308032975
A Marriner,59,157,5,2.6610169491525424,0.0847457627118644,1.1694915254237288,1.4915254237288136,0.05084745762711865,0.03389830508474576,-0.5576105018278499,-0.034862080425390504
C Kavanagh,58,186,5,3.206896551724138,0.08620689655172414,1.4310344827586208,1.7758620689655173,0.06896551724137931,0.017241379310344827,-0.011730899256254368,-0.033400946585530764
S Attwell,56,214,7,3.8214285714285716,0.125,1.8928571428571428,1.9285714285714286,0.017857142857142856,0.10714285714285714,0.6028011204481794,0.005392156862745093
D Coote,52,191,6,3.673076923076923,0.11538461538461539,1.7884615384615385,1.8846153846153846,0.057692307692307696,0.057692307692307696,0.45444947209653064,-0.004223227752639516
A Madley,40,107,4,2.675,0.1,1.225,1.45,0.025,0.075,-0.5436274509803924,-0.0196078431372549
G Scott,37,106,8,2.864864864864865,0.21621621621621623,1.4054054054054055,1.4594594594594594,0.10810810810810811,0.10810810810810811,-0.35376258611552736,0.09660837307896132
S Hooper,35,101,2,2.8857142857142857,0.05714285714285714,1.3714285714285714,1.5142857142857142,0.05714285714285714,0.0,-0.3329131652661066,-0.062464985994397766
P Bankes,34,127,5,3.735294117647059,0.14705882352941177,1.5294117647058822,2.2058823529411766,0.058823529411764705,0.08823529411764706,0.5166666666666666,0.027450980392156862
D England,27,96,1,3.5555555555555554,0.037037037037037035,1.5555555555555556,2.0,0.0,0.037037037037037035,0.3369281045751631,-0.08257080610021787
L Mason,24,68,1,2.8333333333333335,0.041666666666666664,1.25,1.5833333333333333,0.041666666666666664,0.0,-0.3852941176470588,-0.07794117647058824
R Jones,22,58,2,2.6363636363636362,0.09090909090909091,1.0909090909090908,1.5454545454545454,0.09090909090909091,0.0,-0.582263814616756,-0.028698752228163996
J Gillett,9,31,1,3.4444444444444446,0.1111111111111111,1.5555555555555556,1.8888888888888888,0.1111111111111111,0.0,0.22581699346405237,-0.008496732026143802
J Brooks,4,21,0,5.25,0.0,2.75,2.5,0.0,0.0,2.0313725490196077,-0.11960784313725491
T Harrington,3,7,0,2.3333333333333335,0.0,1.0,1.3333333333333333,0.0,0.0,-0.8852941176470588,-0.11960784313725491
M Salisbury,3,12,0,4.0,0.0,1.6666666666666667,2.3333333333333335,0.0,0.0,0.7813725490196077,-0.11960784313725491
A Moss,1,4,0,4.0,0.0,1.0,3.0,0.0,0.0,0.7813725490196077,-0.11960784313725491
O Langford,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,-2.2186274509803923,-0.11960784313725491
S Scott,1,3,0,3.0,0.0,1.0,2.0,0.0,0.0,-0.21862745098039227,-0.11960784313725491
T Robinson,1,2,0,2.0,0.0,0.0,2.0,0.0,0.0,-1.2186274509803923,-0.11960784313725491
