Team,win_pct_home,draw_pct_home,lose_pct_home,n_home,lose_pct_away,draw_pct_away,win_pct_away,n_away
Arsenal,50.98,21.569,27.451,51,35.294,23.529,41.176,51
Aston Villa,35.294,21.569,43.137,51,52.941,11.765,35.294,51
Bournemouth,30.769,30.769,38.462,13,69.231,7.692,23.077,13
Brentford,36.842,15.789,47.368,19,47.368,21.053,31.579,19
Brighton,25.49,43.137,31.373,51,41.176,31.373,27.451,51
Burnley,29.412,25.49,45.098,51,49.02,27.451,23.529,51
Chelsea,45.098,31.373,23.529,51,23.529,19.608,56.863,51
Crystal Palace,33.333,33.333,33.333,51,45.098,29.412,25.49,51
Everton,43.137,17.647,39.216,51,47.059,21.569,31.373,51
Fulham,10.526,21.053,68.421,19,36.842,47.368,15.789,19
Leeds,31.579,28.947,39.474,38,47.368,13.158,39.474,38
Leicester,52.941,15.686,31.373,51,31.373,25.49,43.137,51
Liverpool,74.51,13.725,11.765,51,9.804,21.569,68.627,51
Man City,72.549,11.765,15.686,51,13.725,15.686,70.588,51
Man United,49.02,27.451,23.529,51,27.451,29.412,43.137,51
Newcastle,37.255,31.373,31.373,51,52.941,19.608,27.451,51
Norwich,18.75,18.75,62.5,32,68.75,21.875,9.375,32
Sheffield United,34.375,9.375,56.25,32,56.25,25.0,18.75,32
Southampton,33.333,23.529,43.137,51,50.98,23.529,25.49,51
Tottenham,60.784,11.765,27.451,51,33.333,27.451,39.216,51
Watford,15.625,21.875,62.5,32,59.375,21.875,18.75,32
West Brom,15.789,31.579,52.632,19,63.158,26.316,10.526,19
West Ham,43.137,23.529,33.333,51,43.137,19.608,37.255,51
Wolves,35.294,25.49,39.216,51,39.216,27.451,33.333,51
